"","Name","ID Number","Date","RTNG"
"163","Azarov, Sergei",13501470,1997-01-01,2115
"164","Azmaiparashvili, Zurab",13601326,1999-07-01,2681
"165","Azmaiparashvili, Zurab",13601326,1999-01-01,2681
"166","Azmaiparashvili, Zurab",13601326,1998-07-01,2655
"167","Azmaiparashvili, Zurab",13601326,1998-01-01,2650
"168","Azmaiparashvili, Zurab",13601326,1997-07-01,2645
"169","Azmaiparashvili, Zurab",13601326,1997-01-01,2650
"170","Azmaiparashvili, Zurab",13601326,1996-07-01,2670
"171","Azmaiparashvili, Zurab",13601326,1996-01-01,2660
"172","Azmaiparashvili, Zurab",13601326,1995-07-01,2620
"173","Azmaiparashvili, Zurab",13601326,1995-01-01,2610
"174","Azmaiparashvili, Zurab",13601326,1994-07-01,2625
"175","Azmaiparashvili, Zurab",13601326,1994-01-01,2625
"176","Azmaiparashvili, Zurab",13601326,1993-07-01,2630
"177","Azmaiparashvili, Zurab",13601326,1993-01-01,2655
"178","Azmaiparashvili, Zurab",13601326,1992-07-01,2620
"179","Azmaiparashvili, Zurab",13601326,1992-01-01,2610
"180","Azmaiparashvili, Zurab",13601326,1991-07-01,2615
"181","Azmaiparashvili, Zurab",13601326,1991-01-01,2585
"182","Azmaiparashvili, Zurab",13601326,1990-07-01,2575
"183","Azmaiparashvili, Zurab",13601326,1990-01-01,2610
"184","Azmaiparashvili, Zurab",13601326,1989-07-01,2575
"185","Azmaiparashvili, Zurab",13601326,1989-01-01,2560
"186","Azmaiparashvili, Zurab",13601326,1988-07-01,2540
"187","Azmaiparashvili, Zurab",13601326,1988-01-01,2540
"188","Azmaiparashvili, Zurab",13601326,1987-07-01,2540
"189","Azmaiparashvili, Zurab",13601326,1987-01-01,2505
"190","Azmaiparashvili, Zurab",13601326,1986-07-01,2470
"191","Azmaiparashvili, Zurab",13601326,1986-01-01,2465
"192","Azmaiparashvili, Zurab",13601326,1985-07-01,2465
"193","Azmaiparashvili, Zurab",13601326,1985-01-01,2465
"194","Azmaiparashvili, Zurab",13601326,1984-07-01,2450
"195","Azmaiparashvili, Zurab",13601326,1984-01-01,2460
"196","Azmaiparashvili, Zurab",13601326,1983-07-01,2455
"197","Azmaiparashvili, Zurab",13601326,1983-01-01,2455
"198","Azmaiparashvili, Zurab",13601326,1982-07-01,2435
"199","Azmaiparashvili, Zurab",13601326,1982-01-01,2445
"200","Azmaiparashvili, Zurab",13601326,1981-07-01,2390
"201","Azmaiparashvili, Zurab",13601326,1981-01-01,2380
"202","Azmaiparashvili, Zurab",13601326,1980-01-01,2415
"203","Bacrot, Etienne",605506,1999-07-01,2592
"204","Bacrot, Etienne",605506,1999-01-01,2561
"205","Bacrot, Etienne",605506,1998-07-01,2555
"206","Bacrot, Etienne",605506,1998-01-01,2565
"207","Bacrot, Etienne",605506,1997-07-01,2545
"208","Bacrot, Etienne",605506,1997-01-01,2500
"209","Bacrot, Etienne",605506,1996-07-01,2470
"210","Bacrot, Etienne",605506,1996-01-01,2425
"211","Bacrot, Etienne",605506,1995-07-01,2395
"212","Bacrot, Etienne",605506,1995-01-01,2300
"213","Bacrot, Etienne",605506,1994-07-01,2300
"214","Bacrot, Etienne",605506,1994-01-01,2255
"215","Bacrot, Etienne",605506,1993-07-01,2230
"216","Banikas, Hristos",4202031,1999-07-01,2507
"217","Banikas, Hristos",4202031,1999-01-01,2511
"218","Banikas, Hristos",4202031,1998-07-01,2490
"219","Banikas, Hristos",4202031,1998-01-01,2495
"220","Banikas, Hristos",4202031,1997-07-01,2450
"221","Banikas, Hristos",4202031,1997-01-01,2470
"222","Banikas, Hristos",4202031,1996-07-01,2445
"223","Banikas, Hristos",4202031,1996-01-01,2440
"224","Banikas, Hristos",4202031,1995-07-01,2375
"225","Banikas, Hristos",4202031,1995-01-01,2335
"226","Banikas, Hristos",4202031,1994-07-01,2315
"227","Banikas, Hristos",4202031,1994-01-01,2300
"228","Banikas, Hristos",4202031,1993-07-01,2205
"229","Banusz, Tamas",722413,1999-07-01,2129
"230","Bareev, Evgeny",4100140,1999-07-01,2698
"231","Bareev, Evgeny",4100140,1999-01-01,2679
"232","Bareev, Evgeny",4100140,1998-07-01,2690
"233","Bareev, Evgeny",4100140,1998-01-01,2675
"234","Bareev, Evgeny",4100140,1997-07-01,2670
"235","Bareev, Evgeny",4100140,1997-01-01,2665
"236","Bareev, Evgeny",4100140,1996-07-01,2655
"237","Bareev, Evgeny",4100140,1996-01-01,2645
"238","Bareev, Evgeny",4100140,1995-07-01,2650
